Species,latitude,longitude
Asclepias syriaca,42.67623,-78.37395
Asclepias syriaca,43.82313,-72.28444
Asclepias syriaca,41.5241,-81.22608
Asclepias syriaca,44.40662,-73.24139
Asclepias syriaca,44.40046,-73.23686
Asclepias syriaca,36.02839,-86.37322
Asclepias syriaca,40.1584,-84.39156
Asclepias syriaca,42.24067,-71.77647
Asclepias syriaca,43.18982,-89.62489
Asclepias syriaca,42.95255,-88.876
Asclepias syriaca,41.56415,-81.4347
Asclepias syriaca,45.29884,-75.87004
Asclepias syriaca,44.52799,-71.81572
Asclepias syriaca,44.01923,-73.17989
Asclepias syriaca,45.47319,-94.3595
Asclepias syriaca,35.75349,-86.60288
Asclepias syriaca,40.7784,-73.96878
Asclepias syriaca,40.05547,-78.31719
Asclepias syriaca,41.13891,-81.57465
Asclepias syriaca,41.64267,-87.10719
Asclepias syriaca,44.32862,-72.1704
Asclepias syriaca,39.24101,-76.58855
Asclepias syriaca,42.174,-82.83014
Asclepias syriaca,41.29151,-74.52861
Asclepias syriaca,40.15341,-89.85027
Asclepias syriaca,41.04184,-77.64472
Asclepias syriaca,35.98672,-79.05766
Asclepias syriaca,38.96528,-77.048
Asclepias syriaca,43.08348,-89.6093
Asclepias syriaca,44.85302,-86.03544
Asclepias syriaca,38.80463,-77.07212
Asclepias syriaca,38.98855,-77.97084
Asclepias syriaca,43.08434,-89.42857
Asclepias syriaca,37.75215,-79.5357
Asclepias syriaca,38.7286,-75.69038
Asclepias syriaca,44.31036,-72.46367
Asclepias syriaca,38.85042,-78.31321
Asclepias syriaca,44.37696,-72.11968
Asclepias syriaca,41.85587,-80.97379
Asclepias syriaca,40.61667,-73.82564
Asclepias syriaca,42.50067,-71.62725
Asclepias syriaca,42.25583,-83.04822
Asclepias syriaca,42.25583,-83.04822
Asclepias syriaca,40.05271,-78.31272
Asclepias syriaca,40.32849,-80.01293
Asclepias syriaca,39.09991,-96.60895
Asclepias syriaca,39.24035,-94.54861
Asclepias syriaca,39.21117,-94.50823
Asclepias syriaca,41.34159,-96.14867
Asclepias syriaca,41.2735,-96.17043
Asclepias syriaca,38.94706,-76.69672
Asclepias syriaca,38.8546,-92.43766
Asclepias syriaca,40.82857,-96.6552
Asclepias syriaca,38.93363,-76.98824
Asclepias syriaca,39.2188,-96.62434
Asclepias syriaca,39.99508,-82.42078
Asclepias syriaca,41.60955,-75.22755
Asclepias syriaca,41.58661,-81.56585
Asclepias syriaca,43.73875,-72.52386
Asclepias syriaca,44.89078,-86.00609
Asclepias syriaca,40.28681,-96.83133
Asclepias syriaca,40.72609,-74.69901
Asclepias syriaca,40.28782,-96.83331
Asclepias syriaca,41.00899,-81.95316
Asclepias syriaca,39.63918,-75.7219
Asclepias syriaca,36.22342,-95.90308
Asclepias syriaca,38.93912,-77.26499
Asclepias syriaca,38.80221,-77.55292
Asclepias syriaca,41.69419,-87.6083
Asclepias syriaca,43.93857,-72.96051
Asclepias syriaca,39.70166,-91.58178
Asclepias syriaca,41.21479,-81.57895
Asclepias syriaca,41.14265,-81.60762
Asclepias syriaca,45.4458,-75.65226
Asclepias syriaca,38.89108,-77.17914
Asclepias syriaca,45.22345,-92.85725
Asclepias syriaca,39.02546,-77.0378
Asclepias syriaca,40.59433,-74.559
Asclepias syriaca,40.65486,-74.5022
Asclepias syriaca,44.18127,-94.02768
Asclepias syriaca,40.52501,-74.39794
Asclepias syriaca,41.31997,-72.56451
Asclepias syriaca,44.21275,-72.49318
Asclepias syriaca,41.20247,-74.56456
Asclepias syriaca,43.06778,-76.2871
Asclepias syriaca,40.62637,-74.5744
Asclepias syriaca,39.99506,-75.99746
Asclepias syriaca,40.56533,-74.87379
Asclepias syriaca,39.06063,-78.11679
Asclepias syriaca,44.08247,-92.47381
Asclepias syriaca,44.0395,-92.50551
Asclepias syriaca,44.31575,-72.49223
Asclepias syriaca,39.84163,-82.86786
Asclepias syriaca,41.87503,-71.32047
Asclepias syriaca,42.91941,-73.0602
Asclepias syriaca,43.83689,-76.26513
Asclepias syriaca,41.36546,-88.32551
Asclepias syriaca,44.86051,-93.21724
Asclepias syriaca,40.09993,-82.771
Asclepias syriaca,41.01239,-96.28988
Asclepias syriaca,42.60687,-79.10553
Asclepias syriaca,45.77833,-89.518
Asclepias syriaca,40.81106,-96.66999
Asclepias syriaca,41.44185,-83.0121
Asclepias syriaca,41.16798,-96.14016
Asclepias syriaca,46.95786,-95.65396
Asclepias syriaca,42.25239,-71.33364
Asclepias syriaca,39.45246,-76.0075
Asclepias syriaca,39.41836,-76.62246
Asclepias syriaca,40.81109,-96.67012
Asclepias syriaca,40.81109,-96.6702
Asclepias syriaca,40.81109,-96.6702
Asclepias syriaca,42.80839,-70.86038
Asclepias syriaca,42.80839,-70.86038
Asclepias syriaca,40.81093,-96.66753
Asclepias syriaca,40.81118,-96.67
Asclepias syriaca,40.81117,-96.66997
Asclepias syriaca,41.18608,-96.12262
Asclepias syriaca,40.81139,-96.66996
Asclepias syriaca,40.81117,-96.66999
Asclepias syriaca,46.2716,-94.33742
Asclepias syriaca,40.6938,-96.8534
Asclepias syriaca,41.30375,-72.55541
Asclepias syriaca,41.6075,-87.53639
Asclepias syriaca,40.81119,-96.66984
Asclepias syriaca,38.84245,-77.64372
Asclepias syriaca,41.11527,-82.05976
Asclepias syriaca,40.77327,-96.77541
Asclepias syriaca,40.85814,-96.70323
Asclepias syriaca,40.77429,-96.77642
Asclepias syriaca,38.84975,-77.65581
Asclepias syriaca,40.77181,-96.77555
Asclepias syriaca,38.84575,-77.64881
Asclepias syriaca,38.85077,-77.64804
Asclepias syriaca,38.8497,-77.65585
Asclepias syriaca,38.84969,-77.65573
Asclepias syriaca,38.84992,-77.64601
Asclepias syriaca,38.84965,-77.65585
Asclepias syriaca,41.00441,-81.97695
Asclepias syriaca,40.77893,-96.63763
Asclepias syriaca,40.77973,-96.63701
Asclepias syriaca,40.77894,-96.63764
Asclepias syriaca,40.77972,-96.63699
Asclepias syriaca,40.77892,-96.63768
Asclepias syriaca,40.69268,-96.85115
Asclepias syriaca,41.14265,-81.60762
Asclepias syriaca,43.93671,-91.41464
Asclepias syriaca,43.12159,-89.45184
Asclepias syriaca,37.73922,-97.26382
Asclepias syriaca,37.74323,-97.26485
Asclepias syriaca,45.5943,-94.39046
Asclepias syriaca,44.09084,-69.14666
Asclepias syriaca,41.10336,-81.48632
Asclepias syriaca,45.44112,-95.28026
Asclepias syriaca,42.29356,-93.16406
Asclepias syriaca,47.04018,-65.74219
Asclepias syriaca,40.15066,-82.75943
Asclepias syriaca,45.2375,-86.98611
Asclepias syriaca,41.14574,-81.82777
Asclepias syriaca,36.25687,-87.18435
Asclepias syriaca,41.76204,-81.2845
Asclepias syriaca,39.9205,-89.81598
Asclepias syriaca,41.71019,-88.3911
Asclepias syriaca,40.35645,-82.60204
Asclepias syriaca,40.19915,-82.72835
Asclepias syriaca,38.95901,-94.8478
Asclepias syriaca,35.13868,-85.91123
Asclepias syriaca,38.93467,-77.28117
Asclepias syriaca,36.01937,-86.86412
Asclepias syriaca,44.51786,-92.94576
Asclepias syriaca,44.46585,-93.1538
Asclepias syriaca,39.35063,-82.03788
Asclepias syriaca,42.17321,-71.21309
Asclepias syriaca,37.37628,-88.93068
Asclepias syriaca,41.26471,-72.73493
