Species,latitude,longitude
Asclepias speciosa,41.3315,-122.3362
Asclepias speciosa,38.34139,-122.01306
Asclepias speciosa,36.803,-118.199
Asclepias speciosa,37.29388227,-118.5522826
Asclepias speciosa,39.9287,-121.0697
Asclepias speciosa,37.32667,-119.01667
Asclepias speciosa,37.96697402,-120.311922
Asclepias speciosa,36.60590168,-118.0606631
Asclepias speciosa,37.4351,-118.4079
Asclepias speciosa,41.42583,-122.51667
Asclepias speciosa,39.77829656,-122.925917
Asclepias speciosa,38.69484325,-119.7802288
Asclepias speciosa,37.7264,-119.6116
Asclepias speciosa,41.41925289,-122.5041818
Asclepias speciosa,37.88222,-119.85472
Asclepias speciosa,37.12533,-118.3886
Asclepias speciosa,39.41741227,-121.8653874
Asclepias speciosa,36.5956,-118.1123
Asclepias speciosa,39.80861,-121.58028
Asclepias speciosa,39.85694,-121.47361
Asclepias speciosa,41.2034,-120.0385
Asclepias speciosa,41.7247683,-122.5152369
Asclepias speciosa,40.94444,-122.42361
Asclepias speciosa,40.41889,-121.37472
Asclepias speciosa,39.23333,-122.71667
Asclepias speciosa,39.47083,-120.57056
Asclepias speciosa,39.40760315,-122.9635126
Asclepias speciosa,39.38030294,-123.0479141
Asclepias speciosa,39.76556,-121.48472
Asclepias speciosa,39.47,-121.29306
Asclepias speciosa,36.9394,-118.2357
Asclepias speciosa,37.49167,-118.38333
Asclepias speciosa,39.53806,-121.96917
Asclepias speciosa,37.7264,-119.6116
Asclepias speciosa,37.75083,-118.73444
Asclepias speciosa,38.40747204,-120.6590057
Asclepias speciosa,39.75222,-121.42583
Asclepias speciosa,39.81861,-121.72056
Asclepias speciosa,36.9394,-118.2357
Asclepias speciosa,38.69721,-119.83672
Asclepias speciosa,38.94333,-122.2
Asclepias speciosa,39.34361,-122.68861
Asclepias speciosa,41.59083,-122.43833
Asclepias speciosa,40.72099528,-121.1748898
Asclepias speciosa,38.04058309,-120.2322411
Asclepias speciosa,39.3225,-120.3787
Asclepias speciosa,38.92592,-122.33598
Asclepias speciosa,39.41741242,-121.8467869
Asclepias speciosa,41.35457268,-122.638734
Asclepias speciosa,39.15972,-122.66361
Asclepias speciosa,37.25969996,-118.9596318
Asclepias speciosa,41.80245837,-123.4984613
Asclepias speciosa,40.1475,-122.62806
Asclepias speciosa,39.26504608,-122.93969
Asclepias speciosa,39.41917,-121.85806
Asclepias speciosa,40.39004264,-123.2800342
Asclepias speciosa,39.46852198,-120.5781579
Asclepias speciosa,38.83489637,-122.7241891
Asclepias speciosa,39.18177957,-122.7190038
Asclepias speciosa,37.71944,-119.65444
Asclepias speciosa,39.34520672,-122.6840053
Asclepias speciosa,39.81028,-121.72333
Asclepias speciosa,41.33789583,-122.310536
Asclepias speciosa,37.7264,-119.6116
Asclepias speciosa,40.63944,-120.7025
Asclepias speciosa,39.62222,-121.32861
Asclepias speciosa,38.04058309,-120.2322411
Asclepias speciosa,37.9636944,-120.2734311
Asclepias speciosa,39.63306,-120.4575
Asclepias speciosa,38.59778,-120.65361
Asclepias speciosa,35.99771607,-118.0959571
Asclepias speciosa,37.76,-118.745
Asclepias speciosa,40.32460862,-120.3636647
Asclepias speciosa,37.26667,-118.27167
Asclepias speciosa,39.80472,-121.7275
Asclepias speciosa,41.32152168,-122.8092175
Asclepias speciosa,40.72099528,-121.1748898
Asclepias speciosa,37.32667,-119.01333
Asclepias speciosa,39.36306,-121.8825
Asclepias speciosa,39.24879556,-120.6430365
Asclepias speciosa,38.19979,-98.51493
Asclepias speciosa,49.73321127,-100.7336714
Asclepias speciosa,49.53306,-98.55778
Asclepias speciosa,49.43528,-99.00306
Asclepias speciosa,49.88444,-97.14639
Asclepias speciosa,49.53306,-98.55778
Asclepias speciosa,49.43528,-99.00306
Asclepias speciosa,49.6,-99.68333
Asclepias speciosa,51.66656496,-100.0003407
Asclepias speciosa,49.84694,-99.95222
Asclepias speciosa,50.5,-98.91667
Asclepias speciosa,49.97278,-98.29194
Asclepias speciosa,49.26667,-101.01667
Asclepias speciosa,49.61655089,-100.73367
Asclepias speciosa,50.03333,-98.86667
Asclepias speciosa,49.05778,-100.49028
Asclepias speciosa,49.63556,-97.135
Asclepias speciosa,49.81667,-97.16667
Asclepias speciosa,51.11656239,-99.78365669
Asclepias speciosa,51.11656239,-99.78365669
Asclepias speciosa,50.17479411,-98.33296812
Asclepias speciosa,49.8,-98.65
Asclepias speciosa,50.76722,-99.58389
Asclepias speciosa,49.61655089,-100.73367
Asclepias speciosa,49.2292,-100.3087
Asclepias speciosa,50.2257216,-98.95028894
Asclepias speciosa,50.50600695,-98.02943158
Asclepias speciosa,49.86656316,-98.26693274
Asclepias speciosa,49.71688527,-99.8953141
Asclepias speciosa,50.1458,-98.3554
Asclepias speciosa,50.7715,-98.897
Asclepias speciosa,49.7,-99.83333
Asclepias speciosa,49.71788724,-99.47430047
Asclepias speciosa,49.20667,-121.79167
Asclepias speciosa,50.23333,-121.56667
Asclepias speciosa,50.71667,-120.51667
Asclepias speciosa,50.25,-119.26667
Asclepias speciosa,50.33333,-115.85
Asclepias speciosa,50.36667,-121.56667
Asclepias speciosa,50.25,-119.26667
Asclepias speciosa,50.33333,-115.85
Asclepias speciosa,49.18308434,-118.4508693
Asclepias speciosa,50.21667,-119.2
Asclepias speciosa,50.15,-120.65
Asclepias speciosa,50.41667,-121.33333
Asclepias speciosa,50.41640591,-120.6509584
Asclepias speciosa,50.41640591,-120.6509584
Asclepias speciosa,50.66667,-119.66667
Asclepias speciosa,50.25,-119.25
Asclepias speciosa,49.28333,-122.75
Asclepias speciosa,49.18333,-119.76667
Asclepias speciosa,49.2,-119.83333
Asclepias speciosa,51.58333,-122.23333
Asclepias speciosa,49.46667,-115.45
Asclepias speciosa,40.09838,-111.61097
Asclepias speciosa,39.40301,-122.96565
Asclepias speciosa,37.31956,-119.02042
Asclepias speciosa,37.73217,-119.60794
Asclepias speciosa,38.2878,-111.24743
Asclepias speciosa,44.58273,-104.7087
Asclepias speciosa,37.73998,-119.56981
Asclepias speciosa,37.74154,-119.60541
Asclepias speciosa,51.6542,-115.1336
Asclepias speciosa,54.71608,-112.40072
Asclepias speciosa,49.1814,-98.08587
Asclepias speciosa,49.17392,-98.09406
Asclepias speciosa,50.77,-99.58667
Asclepias speciosa,49.03333,-111.5
Asclepias speciosa,49.2185,-119.9612
Asclepias speciosa,49.11667,-111.65
Asclepias speciosa,49.86667,-110.88333
Asclepias speciosa,50.06667,-110.06667
Asclepias speciosa,38.02866,-97.55538
Asclepias speciosa,40.02867,-101.96733
